name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
esse,4.7,9,1.0,8,1,0,0,0.32,0.0,2.1366666666666667,
glasner,0.8,61,9.0,0,0,0,0,0.0,0.0,3.9237786938038095,
broja,5.3,6,0.5,166,0,0,0,0.11,0.09,7.803333333333334,
a.doucoure,5.1,67,2.0,1980,2,1,9,3.2,1.08,66.17,
beto,5.1,62,2.0,920,6,0,2,5.35,0.17,51.35,
branthwaite,4.8,67,2.0,1806,0,1,7,0.75,0.25,54.14,
calvert-lewin,5.4,59,0.0,1571,3,2,8,6.05,0.63,71.57,
coleman,4.3,3,0.0,196,0,0,0,0.62,0.01,5.52,
gana,4.8,70,4.5,2266,0,3,8,1.05,1.71,61.88,
garner,4.9,24,2.0,858,0,1,2,0.14,0.97,32.1,
harrison,5.2,58,6.0,1498,1,2,4,3.07,2.32,60.12,
holgate,4.0,1,0.0,5,0,0,0,0.0,0.0,3.9237786938038095,
iroegbunam,4.3,17,0.5,468,0,1,0,0.23,0.14,16.558,
j.virginia,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
keane,3.8,33,0.0,812,2,0,2,0.43,0.02,28.496,
maupay,4.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
mcneil,5.1,65,0.0,1140,3,5,4,0.87,3.96,87.42,
mykolenko,4.4,85,2.0,2362,0,2,8,0.39,1.61,63.79,
ndiaye,5.2,81,0.0,1874,6,0,11,3.58,1.03,79.82,
patterson,4.4,7,0.0,124,0,0,0,0.07,0.3,12.543333333333337,
pickford,5.1,116,2.5,2610,0,1,9,0.0,0.18,90.34,
tarkowski,4.9,95,2.0,2601,1,1,9,1.14,1.96,56.37,
y. chermiti,4.9,0,0.0,11,0,0,0,0.07,0.0,1.0743333333333331,
young,4.4,80,0.5,1551,1,4,7,0.27,1.82,72.14,
alcaraz,4.9,19,1.0,323,1,1,0,0.97,0.35,35.71,
lindstrøm,5.0,44,3.0,1229,0,1,6,2.15,1.96,52.27,
