id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
173,Omari,Kellyman,6,4.3,0,0.0,0,0,0,0,0.1
170,Alfie,Gilchrist,6,4.0,0,0.0,0,0,0,0,0.0
169,Conor,Gallagher,6,5.9,0,0.0,0,0,0,0,0.1
165,Deivid Washington,de Souza Eugênio,6,4.9,0,0.0,0,0,0,0,0.1
164,David Datro,Fofana,6,5.4,0,0.0,0,0,0,0,0.1
161,Carney,Chukwuemeka,6,4.7,0,0.0,0,0,0,0,0.0
158,Cesare,Casadei,6,4.4,0,0.0,0,0,0,0,0.1
155,Marcus,Bettinelli,6,3.9,0,0.0,0,0,0,0,0.4
154,Lucas,Bergström,6,3.9,0,0.0,0,0,0,0,0.3
151,Ângelo Gabriel,Borges Damaceno,6,4.5,0,0.0,0,0,0,0,0.1
150,Andrey,Nascimento dos Santos,6,4.5,0,0.0,0,0,0,0,0.0
705,Benjamin,Arthur,4,4.0,0,0.0,0,0,0,0,0.0
634,Gustavo,Nunes Fernandes Gomes,4,4.9,0,0.0,0,0,0,0,0.0
439,Lewis,O'Brien,16,5.0,0,0.0,0,0,0,0,0.0
641,Oliwier,Zych,2,4.0,0,0.0,0,0,0,0,0.5
56,Lino,da Cruz Sousa,2,4.0,0,0.0,0,0,0,0,0.0
55,Viljami,Sinisalo,2,4.0,0,0.0,0,0,0,0,0.0
46,Filip,Marschall,2,4.0,0,0.0,0,0,0,0,0.0
43,Kaine,Kesler-Hayden,2,4.0,0,0.0,0,0,0,0,0.0
41,Samuel,Iling-Junior,2,5.4,0,0.0,0,0,0,0,0.0
40,Kortney,Hause,2,3.9,0,0.0,0,0,0,0,0.6
39,Joe,Gauci,2,4.0,0,0.0,0,0,0,0,0.6
37,Lewis,Dobbin,2,5.0,0,0.0,0,0,0,0,0.0
34,Moussa,Diaby,2,6.5,0,0.0,0,0,0,0,0.0
33,Leander,Dendoncker,2,4.5,0,0.0,0,0,0,0,0.2
30,Enzo,Barrenechea,2,4.9,0,0.0,0,0,0,0,0.0
756,Jack,Porter,1,4.0,0,0.0,0,0,0,0,0.0
665,Nathan,Butler-Oyedeji,1,4.5,0,0.0,0,0,0,0,0.2
662,Josh,Nichols,1,4.0,0,0.0,0,0,0,0,0.1
659,Ismeal,Kabia,1,4.5,0,0.0,0,0,0,0,0.0
657,Maldini,Kacurri,1,4.0,0,0.0,0,0,0,0,0.1
639,Tommy,Setford,1,4.5,0,0.0,0,0,0,0,0.1
638,Salah-Eddine,Oulad M'hand,1,4.5,0,0.0,0,0,0,0,0.0
5,Karl,Hein,1,4.0,0,0.0,0,0,0,0,0.0
640,Sil,Swinkels,2,4.0,0,0.0,0,0,0,0,0.1
656,Kadan,Young,2,4.4,0,0.0,0,0,0,0,0.2
112,Mathias,Jorgensen,4,4.5,0,0.0,0,0,0,0,0.0
679,Ben,Broggio,2,4.5,0,0.0,0,0,0,0,0.0
108,Ivan,Toney,4,7.3,0,0.0,0,0,0,0,1.1
103,Myles,Peart-Harris,4,4.5,0,0.0,0,0,0,0,0.0
93,Aaron,Hickey,4,4.3,0,0.0,0,0,0,0,0.0
90,Josh,Dasilva,4,4.8,0,0.0,0,0,0,0,0.0
87,Ethan,Brierley,4,4.4,0,0.0,0,0,0,0,0.1
727,Callan,McKenna,3,4.0,0,0.0,0,0,0,0,0.0
723,Dominic,Sadi,3,4.5,0,0.0,0,0,0,0,0.0
722,Daniel,Adu-Adjei,3,4.5,0,0.0,0,0,0,0,0.0
713,Julio,Soler,3,3.9,0,0.0,0,0,0,0,0.0
712,Matai,Akinmboni,3,4.0,0,0.0,0,0,0,0,0.0
702,Archie,Harris,3,4.0,0,0.0,0,0,0,0,0.0
680,Max,Kinsey,3,4.0,0,0.0,0,0,0,0,0.0
599,Will,Dennis,3,3.9,0,0.0,0,0,0,0,0.3
75,Alex,Paulsen,3,4.0,0,0.0,0,0,0,0,0.0
72,Chris,Mepham,3,4.4,0,0.0,0,0,0,0,0.0
67,Hamed,Traorè,3,4.5,0,0.0,0,0,0,0,0.0
66,Romain,Faivre,3,5.0,0,0.0,0,0,0,0,0.0
61,Jaidon,Anthony,3,4.5,0,0.0,0,0,0,0,0.1
710,Jamaldeen,Jimoh,2,4.5,0,0.0,0,0,0,0,0.0
190,Naouirou,Ahamada,7,4.5,0,0.0,0,0,0,0,0.1
197,Malcolm,Ebiowei,7,4.5,0,0.0,0,0,0,0,0.0
202,Rob,Holding,7,4.2,0,0.0,0,0,0,0,0.1
208,Matheus,França de Oliveira,7,4.4,0,0.0,0,0,0,0,0.2
673,Jayce,Fitzgerald,14,4.5,0,0.0,0,0,0,0,0.0
667,Jack,Fletcher,14,4.5,0,0.0,0,0,0,0,0.0
648,Ethan,Wheatley,14,4.5,0,0.0,0,0,0,0,1.1
384,Facundo,Pellistri Rebollo,14,5.0,0,0.0,0,0,0,0,0.0
374,Tom,Heaton,14,3.9,0,0.0,0,0,0,0,0.2
373,Hannibal,Mejbri,14,4.5,0,0.0,0,0,0,0,0.0
367,Altay,Bayindir,14,4.3,0,0.0,0,0,0,0,0.1
