name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Fulham,39,0,0.0,0,0,0,0,0.00,0.00,Fulham
Fulham,48,22,0.5,424,1,0,1,0.15,0.92,Fulham
Fulham,42,41,3.5,1337,0,1,3,0.38,0.47,Fulham
Fulham,44,30,0.5,1258,0,0,1,0.51,0.06,Fulham
Fulham,45,0,0.0,0,0,0,0,0.00,0.00,Fulham
Fulham,56,120,4.0,2360,7,4,6,3.51,5.36,Fulham
Fulham,50,94,7.0,2610,0,2,5,0.00,0.02,Fulham
Fulham,48,42,0.0,1742,0,2,3,0.82,1.13,Fulham
Fulham,40,0,0.0,0,0,0,0,0.00,0.00,Fulham
Fulham,55,73,4.0,799,6,1,2,4.81,0.19,Fulham
Fulham,55,118,5.0,1830,10,3,7,10.31,1.75,Fulham
Fulham,45,0,0.0,0,0,0,0,0.00,0.00,Fulham
Fulham,47,8,0.5,71,0,0,0,0.14,0.09,Fulham
Fulham,50,98,3.5,2538,0,10,5,0.70,3.40,Fulham
Fulham,50,1,0.0,1,0,0,0,0.00,0.00,Fulham
Fulham,44,37,0.0,1262,0,2,2,1.02,0.44,Fulham
Fulham,50,1,0.0,3,0,0,0,0.06,0.00,Fulham
Fulham,52,63,0.0,829,5,2,2,3.29,0.94,Fulham
Fulham,41,20,4.0,92,2,0,0,0.54,0.35,Fulham
Fulham,44,6,0.0,168,0,0,0,0.00,0.00,Fulham
Fulham,44,7,0.0,78,0,0,1,0.20,0.65,Fulham
Fulham,44,1,0.0,14,0,0,0,0.00,0.00,Fulham
Fulham,50,41,2.5,1643,0,0,4,0.16,0.43,Fulham
Fulham,40,0,0.0,0,0,0,0,0.00,0.00,Fulham
Fulham,11,55,5.5,0,0,0,0,0.00,0.00,Fulham
Fulham,50,7,2.0,128,0,0,1,0.13,0.21,Fulham
Ipswich,54,24,2.0,554,0,1,2,1.63,0.59,Ipswich
Ipswich,47,8,0.0,125,0,0,0,0.35,0.04,Ipswich
Ipswich,40,0,0.0,0,0,0,0,0.00,0.00,Ipswich
Ipswich,49,17,1.0,445,0,0,1,1.11,1.01,Ipswich
Ipswich,38,15,0.5,945,0,1,0,0.72,0.24,Ipswich
Ipswich,48,30,0.0,922,0,1,1,0.50,1.17,Ipswich
Ipswich,51,33,0.0,605,1,2,1,1.18,0.54,Ipswich
Ipswich,40,1,0.0,377,0,0,0,0.08,0.10,Ipswich
Ipswich,43,51,1.0,2461,1,2,2,0.89,4.18,Ipswich
Ipswich,56,108,2.0,2172,10,2,3,8.32,1.32,Ipswich
Ipswich,40,1,0.0,1,0,0,0,0.00,0.00,Ipswich
Ipswich,39,32,0.5,1665,1,0,2,1.24,0.15,Ipswich
Ipswich,49,2,0.0,43,0,0,0,0.00,0.05,Ipswich
Ipswich,54,30,3.0,258,2,1,0,1.09,0.11,Ipswich
Ipswich,45,0,0.0,0,0,0,0,0.00,0.00,Ipswich
Ipswich,52,77,1.5,2225,3,2,3,2.34,1.64,Ipswich
Ipswich,39,17,0.5,945,0,1,0,0.68,0.41,Ipswich
Ipswich,45,0,0.0,0,0,0,0,0.00,0.00,Ipswich
Ipswich,44,9,0.0,179,0,0,0,0.00,0.01,Ipswich
Ipswich,48,51,0.0,1977,1,1,2,0.31,1.03,Ipswich
Ipswich,40,0,0.0,0,0,0,0,0.00,0.00,Ipswich
